id;login;password_hash;first_name;last_name;email;image_url;activated;lang_key;created_by;created_date;last_modified_by;last_modified_date;account_locked;failed_login_attempts
4;minjun_seo;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Min-jun;Seo;minjun.seo@example.com;https://randomuser.me/api/portraits/men/4.jpg;true;ko;system;2023-01-10 08:00:00;system;2023-01-10 08:00:00;false;0
5;jiwoo_kim;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Ji-woo;Kim;jiwoo.kim@example.com;https://randomuser.me/api/portraits/women/5.jpg;true;ko;system;2023-01-11 09:30:00;system;2023-01-11 09:30:00;false;0
6;doyoon_park;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Do-yoon;Park;doyoon.park@example.com;https://randomuser.me/api/portraits/men/6.jpg;true;ko;system;2023-01-12 10:00:00;system;2023-01-12 10:00:00;false;0
7;seoyeon_lee;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Seo-yeon;Lee;seoyeon.lee@example.com;https://randomuser.me/api/portraits/women/7.jpg;true;ko;system;2023-01-13 11:45:00;system;2023-01-13 11:45:00;false;0
8;siwoo_choi;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Si-woo;Choi;siwoo.choi@example.com;https://randomuser.me/api/portraits/men/8.jpg;true;ko;system;2023-01-14 14:00:00;system;2023-01-14 14:00:00;false;0
9;eunji_jung;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Eun-ji;Jung;eunji.jung@example.com;https://randomuser.me/api/portraits/women/9.jpg;true;en;system;2023-02-01 18:20:00;system;2023-02-01 18:20:00;false;0
10;li_wei;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Wei;Li;li.wei@example.com;https://randomuser.me/api/portraits/men/10.jpg;true;zh-cn;system;2023-02-05 20:00:00;system;2023-02-05 20:00:00;false;0
11;yuki_tanaka;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Yuki;Tanaka;yuki.tanaka@example.com;https://randomuser.me/api/portraits/women/11.jpg;true;ja;system;2023-02-10 12:00:00;system;2023-02-10 12:00:00;false;0
12;john_smith;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;John;Smith;john.smith@example.com;https://randomuser.me/api/portraits/men/12.jpg;true;en;system;2023-02-15 15:30:00;system;2023-02-15 15:30:00;false;0
13;maria_garcia;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Maria;Garcia;maria.garcia@example.com;https://randomuser.me/api/portraits/women/13.jpg;true;es;system;2023-02-20 17:00:00;system;2023-02-20 17:00:00;false;0
14;muhammad_khan;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Muhammad;Khan;muhammad.khan@example.com;https://randomuser.me/api/portraits/men/14.jpg;true;ar;system;2023-03-01 10:10:00;system;2023-03-01 10:10:00;false;0
15;phuong_thao;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Phuong;Thao;phuong.thao@example.com;https://randomuser.me/api/portraits/women/15.jpg;true;vi;system;2023-03-05 11:00:00;system;2023-03-05 11:00:00;false;0
16;staff_member;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Staff;Member;staff@langleague.com;https://randomuser.me/api/portraits/men/16.jpg;true;en;system;2023-03-10 09:00:00;system;2023-03-10 09:00:00;false;0
17;content_creator;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Content;Creator;creator@langleague.com;https://randomuser.me/api/portraits/women/17.jpg;true;en;system;2023-03-11 14:30:00;system;2023-03-11 14:30:00;false;0
18;test_user_1;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Test;User1;test1@example.com;;true;en;system;2023-03-15 10:00:00;system;2023-03-15 10:00:00;false;0
19;test_user_2;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Test;User2;test2@example.com;;false;en;system;2023-03-16 11:00:00;system;2023-03-16 11:00:00;true;5
20;test_user_3;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Test;User3;test3@example.com;;true;vi;system;2023-03-17 12:00:00;system;2023-03-17 12:00:00;false;0
